,seed_repo_owner,seed_repo_name,package_name,package_repo_owner,package_repo_name,package_source
6832,nomicfoundation,hardhat,is-text-path,sindresorhus,is-text-path,NPM
6833,nomicfoundation,hardhat,array-equal,sindresorhus,array-equal,NPM
6834,nomicfoundation,hardhat,query-string,sindresorhus,query-string,NPM
6835,nomicfoundation,hardhat,loud-rejection,sindresorhus,loud-rejection,NPM
6836,nomicfoundation,hardhat,code-point-at,sindresorhus,code-point-at,NPM
6837,nomicfoundation,hardhat,is-stream,sindresorhus,is-stream,NPM
6838,nomicfoundation,hardhat,defaults,sindresorhus,node-defaults,NPM
6839,nomicfoundation,hardhat,aggregate-error,sindresorhus,aggregate-error,NPM
6840,nomicfoundation,hardhat,resolve-from,sindresorhus,resolve-from,NPM
6841,nomicfoundation,hardhat,@truffle/contract-schema,trufflesuite,truffle,NPM
6842,nomicfoundation,hardhat,truffle-blockchain-utils,trufflesuite,truffle,NPM
6843,nomicfoundation,hardhat,string-format,davidchambers,string-format,NPM
6844,nomicfoundation,hardhat,fragment-cache,jonschlinkert,fragment-cache,NPM
6845,nomicfoundation,hardhat,define-property,jonschlinkert,define-property,NPM
6846,nomicfoundation,hardhat,posix-character-classes,jonschlinkert,posix-character-classes,NPM
6847,nomicfoundation,hardhat,arr-diff,jonschlinkert,arr-diff,NPM
6848,nomicfoundation,hardhat,cache-base,jonschlinkert,cache-base,NPM
6849,nomicfoundation,hardhat,extend-shallow,jonschlinkert,extend-shallow,NPM
6850,nomicfoundation,hardhat,object-visit,jonschlinkert,object-visit,NPM
6851,nomicfoundation,hardhat,snapdragon,jonschlinkert,snapdragon,NPM
6852,nomicfoundation,hardhat,static-extend,jonschlinkert,static-extend,NPM
6853,nomicfoundation,hardhat,to-regex,jonschlinkert,to-regex,NPM
6854,nomicfoundation,hardhat,cssesc,mathiasbynens,cssesc,NPM
6855,nomicfoundation,hardhat,emoji-regex,mathiasbynens,emoji-regex,NPM
6856,nomicfoundation,hardhat,is-potential-custom-element-name,mathiasbynens,is-potential-custom-element-name,NPM
6857,nomicfoundation,hardhat,http-basic,forbeslindesay,http-basic,NPM
6858,nomicfoundation,hardhat,vite-plugin-singlefile,richardtallent,vite-plugin-singlefile,NPM
6859,nomicfoundation,hardhat,@storybook/csf,componentdriven,csf,NPM
6860,nomicfoundation,hardhat,@types/unist,definitelytyped,definitelytyped,NPM
6861,nomicfoundation,hardhat,@types/prompts,definitelytyped,definitelytyped,NPM
6862,nomicfoundation,hardhat,@types/ms,definitelytyped,definitelytyped,NPM
6863,nomicfoundation,hardhat,@types/scheduler,definitelytyped,definitelytyped,NPM
6864,nomicfoundation,hardhat,@types/w3c-web-usb,definitelytyped,definitelytyped,NPM
6865,nomicfoundation,hardhat,@nomicfoundation/hardhat-ignition-ethers,nomicfoundation,hardhat-ignition,NPM
6866,nomicfoundation,hardhat,@nomicfoundation/solidity-analyzer-linux-x64-gnu,nomicfoundation,solidity-analyzer,NPM
6867,nomicfoundation,hardhat,@nomicfoundation/edr-darwin-arm64,nomicfoundation,edr,NPM
6868,nomicfoundation,hardhat,@solidity-parser/parser,solidity-parser,parser,NPM
6869,nomicfoundation,hardhat,cache-loader,webpack-contrib,cache-loader,NPM
6870,nomicfoundation,hardhat,css-loader,webpack-contrib,css-loader,NPM
6871,nomicfoundation,hardhat,evp_bytestokey,crypto-browserify,evp_bytestokey,NPM
6872,nomicfoundation,hardhat,styled-components,styled-components,styled-components,NPM
6873,nomicfoundation,hardhat,conventional-recommended-bump,conventional-changelog,conventional-changelog,NPM
6874,nomicfoundation,hardhat,idna-uts46-hx,centralnicgroup-opensource,rtldev-middleware-idna-uts46,NPM
6875,nomicfoundation,hardhat,d3-time-format,d3,d3-time-format,NPM
6876,nomicfoundation,hardhat,d3-path,d3,d3-path,NPM
6877,nomicfoundation,hardhat,d3-chord,d3,d3-chord,NPM
6878,nomicfoundation,hardhat,d3-force,d3,d3-force,NPM
6879,nomicfoundation,hardhat,d3-timer,d3,d3-timer,NPM
6880,nomicfoundation,hardhat,d3-hierarchy,d3,d3-hierarchy,NPM
6881,nomicfoundation,hardhat,d3-scale,d3,d3-scale,NPM
6882,nomicfoundation,hardhat,init-package-json,npm,init-package-json,NPM
6883,nomicfoundation,hardhat,figgy-pudding,npm,figgy-pudding,NPM
6884,nomicfoundation,hardhat,ini,npm,ini,NPM
6885,nomicfoundation,hardhat,gauge,npm,gauge,NPM
6886,nomicfoundation,hardhat,svgo,svg,svgo,NPM
6887,nomicfoundation,hardhat,css-select,fb55,css-select,NPM
6888,nomicfoundation,hardhat,css-what,fb55,css-what,NPM
6889,nomicfoundation,hardhat,entities,fb55,entities,NPM
6890,nomicfoundation,hardhat,github-slugger,flet,github-slugger,NPM
6891,nomicfoundation,hardhat,deprecation,gr2m,deprecation,NPM
6892,nomicfoundation,hardhat,merge-source-map,keik,merge-source-map,NPM
6893,nomicfoundation,hardhat,last-call-webpack-plugin,nmfr,last-call-webpack-plugin,NPM
6894,nomicfoundation,hardhat,@webassemblyjs/wast-printer,xtuc,webassemblyjs,NPM
6895,nomicfoundation,hardhat,@babel/plugin-transform-dotall-regex,babel,babel,NPM
6896,nomicfoundation,hardhat,@babel/plugin-syntax-decorators,babel,babel,NPM
6897,nomicfoundation,hardhat,@babel/plugin-transform-flow-strip-types,babel,babel,NPM
6898,nomicfoundation,hardhat,@babel/helper-builder-binary-assignment-operator-visitor,babel,babel,NPM
6899,nomicfoundation,hardhat,@babel/plugin-proposal-async-generator-functions,babel,babel,NPM
6900,nomicfoundation,hardhat,@babel/plugin-transform-spread,babel,babel,NPM
6901,nomicfoundation,hardhat,babel-plugin-polyfill-regenerator,babel,babel-polyfills,NPM
6902,nomicfoundation,hardhat,@babel/helper-explode-assignable-expression,babel,babel,NPM
6903,nomicfoundation,hardhat,@babel/plugin-syntax-json-strings,babel,babel,NPM
6904,nomicfoundation,hardhat,babel-plugin-polyfill-corejs3,babel,babel-polyfills,NPM
6905,nomicfoundation,hardhat,babel-loader,babel,babel-loader,NPM
6906,nomicfoundation,hardhat,chalk,chalk,chalk,NPM
6907,nomicfoundation,hardhat,slice-ansi,chalk,slice-ansi,NPM
6908,nomicfoundation,hardhat,parse-numeric-range,euank,node-parse-numeric-range,NPM
6909,nomicfoundation,hardhat,@esbuild/linux-loong64,evanw,esbuild,NPM
6910,nomicfoundation,hardhat,@esbuild/netbsd-x64,evanw,esbuild,NPM
6911,nomicfoundation,hardhat,table,gajus,table,NPM
6912,nomicfoundation,hardhat,abab,jsdom,abab,NPM
6913,nomicfoundation,hardhat,symbol-tree,jsdom,js-symbol-tree,NPM
6914,nomicfoundation,hardhat,@lerna/link,lerna,lerna,NPM
6915,nomicfoundation,hardhat,@lerna/profiler,lerna,lerna,NPM
6916,nomicfoundation,hardhat,@lerna/validation-error,lerna,lerna,NPM
6917,nomicfoundation,hardhat,@lerna/version,lerna,lerna,NPM
6918,nomicfoundation,hardhat,@lerna/bootstrap,lerna,lerna,NPM
6919,nomicfoundation,hardhat,@lerna/run-lifecycle,lerna,lerna,NPM
6920,nomicfoundation,hardhat,@lerna/otplease,lerna,lerna,NPM
6921,nomicfoundation,hardhat,@lerna/npm-run-script,lerna,lerna,NPM
6922,nomicfoundation,hardhat,@lerna/npm-dist-tag,lerna,lerna,NPM
6923,nomicfoundation,hardhat,highlightjs-solidity,pospi,highlightjs-solidity,NPM
6924,nomicfoundation,hardhat,charenc,pvorb,node-charenc,NPM
6925,nomicfoundation,hardhat,@eslint/eslintrc,eslint,eslintrc,NPM
6926,nomicfoundation,hardhat,eslint-visitor-keys,eslint,js,NPM
6927,nomicfoundation,hardhat,buffer,feross,buffer,NPM
6928,nomicfoundation,hardhat,io-ts,gcanti,io-ts,NPM
6929,nomicfoundation,hardhat,chownr,isaacs,chownr,NPM
6930,nomicfoundation,hardhat,pseudomap,isaacs,pseudomap,NPM
6931,nomicfoundation,hardhat,@jest/schemas,jestjs,jest,NPM
6932,nomicfoundation,hardhat,mime-db,jshttp,mime-db,NPM
6933,nomicfoundation,hardhat,etag,jshttp,etag,NPM
6934,nomicfoundation,hardhat,forwarded,jshttp,forwarded,NPM
6935,nomicfoundation,hardhat,natural-compare,litejs,natural-compare-lite,NPM
6936,nomicfoundation,hardhat,globalthis,ljharb,system.global,NPM
6937,nomicfoundation,hardhat,concat-map,ljharb,concat-map,NPM
6938,nomicfoundation,hardhat,camelize,ljharb,camelize,NPM
6939,nomicfoundation,hardhat,lodash.sortby,lodash,lodash,NPM
6940,nomicfoundation,hardhat,lodash.templatesettings,lodash,lodash,NPM
6941,nomicfoundation,hardhat,lodash.truncate,lodash,lodash,NPM
6942,nomicfoundation,hardhat,mrmime,lukeed,mrmime,NPM
6943,nomicfoundation,hardhat,escalade,lukeed,escalade,NPM
6944,nomicfoundation,hardhat,language-subtag-registry,mattcg,language-subtag-registry,NPM
6945,nomicfoundation,hardhat,argparse,nodeca,argparse,NPM
6946,nomicfoundation,hardhat,nan,nodejs,nan,NPM
6947,nomicfoundation,hardhat,aes-js,ricmoo,aes-js,NPM
6948,nomicfoundation,hardhat,@rollup/rollup-freebsd-arm64,rollup,rollup,NPM
6949,nomicfoundation,hardhat,@rollup/rollup-linux-riscv64-gnu,rollup,rollup,NPM
6950,nomicfoundation,hardhat,rollup,rollup,rollup,NPM
6951,nomicfoundation,hardhat,@rollup/rollup-linux-powerpc64le-gnu,rollup,rollup,NPM
6952,nomicfoundation,hardhat,case-sensitive-paths-webpack-plugin,urthen,case-sensitive-paths-webpack-plugin,NPM
6953,nomicfoundation,hardhat,uuid,uuidjs,uuid,NPM
6954,nomicfoundation,hardhat,vite,vitejs,vite,NPM
6955,nomicfoundation,hardhat,longest-streak,wooorm,longest-streak,NPM
6956,nomicfoundation,hardhat,property-information,wooorm,property-information,NPM
6957,nomicfoundation,hardhat,@types/handlebars,wycats,handlebars.js,NPM
6958,nomicfoundation,hardhat,@algolia/cache-in-memory,algolia,algoliasearch-client-javascript,NPM
6959,nomicfoundation,hardhat,@algolia/client-account,algolia,algoliasearch-client-javascript,NPM
6960,nomicfoundation,hardhat,ts-pnp,arcanis,ts-pnp,NPM
6961,nomicfoundation,hardhat,cssnano-util-same-parent,cssnano,cssnano,NPM
6962,nomicfoundation,hardhat,postcss-merge-longhand,cssnano,cssnano,NPM
6963,nomicfoundation,hardhat,postcss-minify-selectors,cssnano,cssnano,NPM
6964,nomicfoundation,hardhat,postcss-normalize-charset,cssnano,cssnano,NPM
6965,nomicfoundation,hardhat,postcss-normalize-whitespace,cssnano,cssnano,NPM
6966,nomicfoundation,hardhat,escodegen,estools,escodegen,NPM
6967,nomicfoundation,hardhat,snapdragon-node,here-be,snapdragon-node,NPM
6968,nomicfoundation,hardhat,brorand,indutny,brorand,NPM
6969,nomicfoundation,hardhat,unquote,lakenen,node-unquote,NPM
6970,nomicfoundation,hardhat,assert-plus,mcavage,node-assert-plus,NPM
6971,nomicfoundation,hardhat,big.js,mikemcl,big.js,NPM
6972,nomicfoundation,hardhat,@types/bignumber.js,mikemcl,bignumber.js,NPM
6973,nomicfoundation,hardhat,source-map,mozilla,source-map,NPM
6974,nomicfoundation,hardhat,is-dom,npm-dom,is-dom,NPM
6975,nomicfoundation,hardhat,@octokit/plugin-rest-endpoint-methods,octokit,plugin-rest-endpoint-methods.js,NPM
6976,nomicfoundation,hardhat,postcss-selector-parser,postcss,postcss-selector-parser,NPM
6977,nomicfoundation,hardhat,react-lifecycles-compat,reactjs,react-lifecycles-compat,NPM
6978,nomicfoundation,hardhat,buffer-indexof,soldair,node-buffer-indexof,NPM
6979,nomicfoundation,hardhat,rsvp,tildeio,rsvp.js,NPM
6980,nomicfoundation,hardhat,source-list-map,webpack,source-list-map,NPM
6981,nomicfoundation,hardhat,hardhat-gas-reporter,cgewecke,hardhat-gas-reporter,NPM
6982,nomicfoundation,hardhat,es5-shim,es-shims,es5-shim,NPM
6983,nomicfoundation,hardhat,symbol.prototype.description,es-shims,symbol.prototype.description,NPM
6984,nomicfoundation,hardhat,eslint-plugin-react-hooks,facebook,react,NPM
6985,nomicfoundation,hardhat,parse5,inikulin,parse5,NPM
6986,nomicfoundation,hardhat,parse5-htmlparser2-tree-adapter,inikulin,parse5,NPM
6987,nomicfoundation,hardhat,extend,justmoon,node-extend,NPM
6988,nomicfoundation,hardhat,@ledgerhq/logs,ledgerhq,ledgerjs,NPM
6989,nomicfoundation,hardhat,node-hid,node-hid,node-hid,NPM
6990,nomicfoundation,hardhat,process,shtylman,node-process,NPM
6991,nomicfoundation,hardhat,compare-func,stevemao,compare-func,NPM
6992,nomicfoundation,hardhat,https-browserify,substack,https-browserify,NPM
6993,nomicfoundation,hardhat,wordwrap,substack,node-wordwrap,NPM
6994,nomicfoundation,hardhat,@vuepress/plugin-search,vuepress,ecosystem,NPM
6995,nomicfoundation,hardhat,sshpk,arekinath,node-sshpk,NPM
6996,nomicfoundation,hardhat,web3-core-requestmanager,chainsafe,web3.js,NPM
6997,nomicfoundation,hardhat,web3-eth-ens,chainsafe,web3.js,NPM
6998,nomicfoundation,hardhat,web3-net,chainsafe,web3.js,NPM
6999,nomicfoundation,hardhat,outdent,cspotcode,outdent,NPM
7000,nomicfoundation,hardhat,v8-compile-cache-lib,cspotcode,v8-compile-cache-lib,NPM
7001,nomicfoundation,hardhat,react-sizeme,ctrlplusb,react-sizeme,NPM
7002,nomicfoundation,hardhat,stacktrace-parser,errwischt,stacktrace-parser,NPM
7003,nomicfoundation,hardhat,@ethersproject/networks,ethers-io,ethers.js,NPM
7004,nomicfoundation,hardhat,@ethersproject/web,ethers-io,ethers.js,NPM
7005,nomicfoundation,hardhat,@evocateur/pacote,evocateur,pacote,NPM
7006,nomicfoundation,hardhat,compression,expressjs,compression,NPM
7007,nomicfoundation,hardhat,cors,expressjs,cors,NPM
7008,nomicfoundation,hardhat,ua-parser-js,faisalman,ua-parser-js,NPM
7009,nomicfoundation,hardhat,@sentry/core,getsentry,sentry-javascript,NPM
7010,nomicfoundation,hardhat,@sentry/utils,getsentry,sentry-javascript,NPM
7011,nomicfoundation,hardhat,next-remote-watch,hashicorp,next-remote-watch,NPM
7012,nomicfoundation,hardhat,fast-levenshtein,hiddentao,fast-levenshtein,NPM
7013,nomicfoundation,hardhat,portfinder,indexzero,node-portfinder,NPM
7014,nomicfoundation,hardhat,inversify,inversify,inversifyjs,NPM
7015,nomicfoundation,hardhat,highlight.js,isagalaev,highlight.js,NPM
7016,nomicfoundation,hardhat,file-entry-cache,jaredwray,file-entry-cache,NPM
7017,nomicfoundation,hardhat,asap,kriskowal,asap,NPM
7018,nomicfoundation,hardhat,react-responsive-carousel,leandrowd,react-responsive-carousel,NPM
7019,nomicfoundation,hardhat,flush-write-stream,mafintosh,flush-write-stream,NPM
7020,nomicfoundation,hardhat,parallel-transform,mafintosh,parallel-transform,NPM
7021,nomicfoundation,hardhat,micromark-factory-title,micromark,micromark,NPM
7022,nomicfoundation,hardhat,micromark-extension-mdx-jsx,micromark,micromark-extension-mdx-jsx,NPM
7023,nomicfoundation,hardhat,micromark-util-combine-extensions,micromark,micromark,NPM
7024,nomicfoundation,hardhat,micromark-util-chunked,micromark,micromark,NPM
7025,nomicfoundation,hardhat,hardhat,nomiclabs,hardhat,NPM
7026,nomicfoundation,hardhat,@nomiclabs/hardhat-web3,nomiclabs,hardhat,NPM
7027,nomicfoundation,hardhat,@noble/curves,paulmillr,noble-curves,NPM
7028,nomicfoundation,hardhat,async-each,paulmillr,async-each,NPM
7029,nomicfoundation,hardhat,react-router-dom,remix-run,react-router,NPM
7030,nomicfoundation,hardhat,css,reworkcss,css,NPM
7031,nomicfoundation,hardhat,memoizerific,thinkloop,memoizerific,NPM
7032,nomicfoundation,hardhat,@manypkg/get-packages,thinkmill,manypkg,NPM
7033,nomicfoundation,hardhat,delegate,zenorocha,delegate,NPM
7034,nomicfoundation,hardhat,@ampproject/remapping,ampproject,remapping,NPM
7035,nomicfoundation,hardhat,toml,binarymuse,toml-node,NPM
7036,nomicfoundation,hardhat,console-browserify,browserify,console-browserify,NPM
7037,nomicfoundation,hardhat,@changesets/write,changesets,changesets,NPM
7038,nomicfoundation,hardhat,@changesets/git,changesets,changesets,NPM
7039,nomicfoundation,hardhat,@changesets/cli,changesets,changesets,NPM
7040,nomicfoundation,hardhat,@emotion/is-prop-valid,emotion-js,emotion,NPM
7041,nomicfoundation,hardhat,@ensdomains/address-encoder,ensdomains,address-encoder,NPM
7042,nomicfoundation,hardhat,is-symbol,inspect-js,is-symbol,NPM
7043,nomicfoundation,hardhat,has-symbols,inspect-js,has-symbols,NPM
7044,nomicfoundation,hardhat,has-property-descriptors,inspect-js,has-property-descriptors,NPM
7045,nomicfoundation,hardhat,is-core-module,inspect-js,is-core-module,NPM
7046,nomicfoundation,hardhat,deep-equal,inspect-js,node-deep-equal,NPM
7047,nomicfoundation,hardhat,caching-transform,istanbuljs,caching-transform,NPM
7048,nomicfoundation,hardhat,istanbul-lib-instrument,istanbuljs,istanbuljs,NPM
7049,nomicfoundation,hardhat,eslint-plugin-jsx-a11y,jsx-eslint,eslint-plugin-jsx-a11y,NPM
7050,nomicfoundation,hardhat,is-glob,micromatch,is-glob,NPM
7051,nomicfoundation,hardhat,debuglog,sam-github,node-debuglog,NPM
7052,nomicfoundation,hardhat,stable,two-screen,stable,NPM
7053,nomicfoundation,hardhat,objectorarray,zhouhansen,objectnotnull,NPM
7054,nomicfoundation,hardhat,har-validator,ahmadnassri,node-har-validator,NPM
7055,nomicfoundation,hardhat,is-lower-case,blakeembrey,change-case,NPM
7056,nomicfoundation,hardhat,param-case,blakeembrey,change-case,NPM
7057,nomicfoundation,hardhat,jsonstream,dominictarr,jsonstream,NPM
7058,nomicfoundation,hardhat,rc,dominictarr,rc,NPM
7059,nomicfoundation,hardhat,json-schema-traverse,epoberezkin,json-schema-traverse,NPM
7060,nomicfoundation,hardhat,@floating-ui/dom,floating-ui,floating-ui,NPM
7061,nomicfoundation,hardhat,markdown-it-emoji,markdown-it,markdown-it-emoji,NPM
7062,nomicfoundation,hardhat,@storybook/addon-docs,storybookjs,storybook,NPM
7063,nomicfoundation,hardhat,@storybook/core-events,storybookjs,storybook,NPM
7064,nomicfoundation,hardhat,@storybook/addon-controls,storybookjs,storybook,NPM
7065,nomicfoundation,hardhat,@storybook/manager-webpack4,storybookjs,storybook,NPM
7066,nomicfoundation,hardhat,@storybook/addon-devkit,storybookjs,addon-development-kit,NPM
7067,nomicfoundation,hardhat,hast-util-raw,syntax-tree,hast-util-raw,NPM
7068,nomicfoundation,hardhat,mdast-util-mdx-expression,syntax-tree,mdast-util-mdx-expression,NPM
7069,nomicfoundation,hardhat,unist-util-visit-parents,syntax-tree,unist-util-visit-parents,NPM
7070,nomicfoundation,hardhat,mdast-util-to-string,syntax-tree,mdast-util-to-string,NPM
7071,nomicfoundation,hardhat,unist-util-select,syntax-tree,unist-util-select,NPM
7072,nomicfoundation,hardhat,unist-util-position,syntax-tree,unist-util-position,NPM
7073,nomicfoundation,hardhat,es6-error,bjyoungblood,es6-error,NPM
7074,nomicfoundation,hardhat,reactcss,casesandberg,reactcss,NPM
7075,nomicfoundation,hardhat,napi-build-utils,inspiredware,napi-build-utils,NPM
7076,nomicfoundation,hardhat,builtins,juliangruber,builtins,NPM
7077,nomicfoundation,hardhat,deep-object-diff,mattphillips,deep-object-diff,NPM
7078,nomicfoundation,hardhat,create-require,nuxt-contrib,create-require,NPM
7079,nomicfoundation,hardhat,react-tooltip,reacttooltip,react-tooltip,NPM
7080,nomicfoundation,hardhat,@sinclair/typebox,sinclairzx81,typebox,NPM
7081,nomicfoundation,hardhat,junk,sindresorhus,junk,NPM
7082,nomicfoundation,hardhat,has-color,sindresorhus,has-color,NPM
7083,nomicfoundation,hardhat,duplexer3,sindresorhus,duplexer3,NPM
7084,nomicfoundation,hardhat,path-exists,sindresorhus,path-exists,NPM
7085,nomicfoundation,hardhat,quick-lru,sindresorhus,quick-lru,NPM
7086,nomicfoundation,hardhat,camelcase,sindresorhus,camelcase,NPM
7087,nomicfoundation,hardhat,html-tags,sindresorhus,html-tags,NPM
7088,nomicfoundation,hardhat,gzip-size,sindresorhus,gzip-size,NPM
7089,nomicfoundation,hardhat,is-absolute-url,sindresorhus,is-absolute-url,NPM
7090,nomicfoundation,hardhat,got,sindresorhus,got,NPM
7091,nomicfoundation,hardhat,array-differ,sindresorhus,array-differ,NPM
7092,nomicfoundation,hardhat,import-local,sindresorhus,import-local,NPM
7093,nomicfoundation,hardhat,temp-write,sindresorhus,temp-write,NPM
7094,nomicfoundation,hardhat,clone-response,sindresorhus,clone-response,NPM
7095,nomicfoundation,hardhat,write-json-file,sindresorhus,write-json-file,NPM
7096,nomicfoundation,hardhat,string-width,sindresorhus,string-width,NPM
7097,nomicfoundation,hardhat,callsites,sindresorhus,callsites,NPM
7098,nomicfoundation,hardhat,relateurl,stevenvachon,relateurl,NPM
7099,nomicfoundation,hardhat,ganache-cli,trufflesuite,ganache-cli,NPM
7100,nomicfoundation,hardhat,@truffle/codec,trufflesuite,truffle,NPM
7101,nomicfoundation,hardhat,minimalistic-assert,calvinmetcalf,minimalistic-assert,NPM
7102,nomicfoundation,hardhat,map-visit,jonschlinkert,map-visit,NPM
7103,nomicfoundation,hardhat,regex-not,jonschlinkert,regex-not,NPM
7104,nomicfoundation,hardhat,punycode,mathiasbynens,punycode.js,NPM
7105,nomicfoundation,hardhat,unicode-property-aliases-ecmascript,mathiasbynens,unicode-property-aliases-ecmascript,NPM
7106,nomicfoundation,hardhat,pure-color,wickynilliams,pure-color,NPM
7107,nomicfoundation,hardhat,picocolors,alexeyraspopov,picocolors,NPM
7108,nomicfoundation,hardhat,react-fast-compare,formidablelabs,react-fast-compare,NPM
7109,nomicfoundation,hardhat,inline-style-parser,remarkablemark,inline-style-parser,NPM
7110,nomicfoundation,hardhat,@types/react-dom,definitelytyped,definitelytyped,NPM
7111,nomicfoundation,hardhat,@types/graceful-fs,definitelytyped,definitelytyped,NPM
7112,nomicfoundation,hardhat,@types/marked,definitelytyped,definitelytyped,NPM
7113,nomicfoundation,hardhat,@types/http-cache-semantics,definitelytyped,definitelytyped,NPM
7114,nomicfoundation,hardhat,@types/babel__generator,definitelytyped,definitelytyped,NPM
7115,nomicfoundation,hardhat,@types/node-fetch,definitelytyped,definitelytyped,NPM
7116,nomicfoundation,hardhat,@types/mdx-js__react,definitelytyped,definitelytyped,NPM
7117,nomicfoundation,hardhat,@types/yargs,definitelytyped,definitelytyped,NPM
7118,nomicfoundation,hardhat,@types/json5,definitelytyped,definitelytyped,NPM
7119,nomicfoundation,hardhat,@types/minimist,definitelytyped,definitelytyped,NPM
7120,nomicfoundation,hardhat,layout-base,ivis-at-bilkent,layout-base,NPM
7121,nomicfoundation,hardhat,@nomicfoundation/solidity-analyzer-linux-x64-musl,nomicfoundation,solidity-analyzer,NPM
7122,nomicfoundation,hardhat,@nomicfoundation/hardhat-viem,nomicfoundation,hardhat,NPM
7123,nomicfoundation,hardhat,@nomicfoundation/solidity-analyzer-linux-arm64-musl,nomicfoundation,solidity-analyzer,NPM
7124,nomicfoundation,hardhat,markdown-it-anchor,valeriangalliat,markdown-it-anchor,NPM
7125,nomicfoundation,hardhat,mini-css-extract-plugin,webpack-contrib,mini-css-extract-plugin,NPM
7126,nomicfoundation,hardhat,file-loader,webpack-contrib,file-loader,NPM
7127,nomicfoundation,hardhat,create-hmac,crypto-browserify,createhmac,NPM
7128,nomicfoundation,hardhat,parse-asn1,crypto-browserify,parse-asn1,NPM
7129,nomicfoundation,hardhat,diffie-hellman,crypto-browserify,diffie-hellman,NPM
7130,nomicfoundation,hardhat,@json-schema-tools/transpiler,json-schema-tools,transpiler,NPM
7131,nomicfoundation,hardhat,d3-shape,d3,d3-shape,NPM
7132,nomicfoundation,hardhat,d3-quadtree,d3,d3-quadtree,NPM
7133,nomicfoundation,hardhat,csso,css,csso,NPM
7134,nomicfoundation,hardhat,which,npm,node-which,NPM
7135,nomicfoundation,hardhat,npmlog,npm,npmlog,NPM
7136,nomicfoundation,hardhat,npm-packlist,npm,npm-packlist,NPM
7137,nomicfoundation,hardhat,mute-stream,npm,mute-stream,NPM
7138,nomicfoundation,hardhat,element-resize-detector,wnr,element-resize-detector,NPM
7139,nomicfoundation,hardhat,react-inspector,xyc,react-inspector,NPM
7140,nomicfoundation,hardhat,domhandler,fb55,domhandler,NPM
7141,nomicfoundation,hardhat,xhr-request,jam3,xhr-request,NPM
7142,nomicfoundation,hardhat,optimize-css-assets-webpack-plugin,nmfr,optimize-css-assets-webpack-plugin,NPM
7143,nomicfoundation,hardhat,heap,qiao,heap.js,NPM
7144,nomicfoundation,hardhat,error-ex,qix-,node-error-ex,NPM
7145,nomicfoundation,hardhat,simple-swizzle,qix-,node-simple-swizzle,NPM
7146,nomicfoundation,hardhat,@webassemblyjs/helper-fsm,xtuc,webassemblyjs,NPM
7147,nomicfoundation,hardhat,@webassemblyjs/ast,xtuc,webassemblyjs,NPM
7148,nomicfoundation,hardhat,@babel/plugin-syntax-numeric-separator,babel,babel,NPM
7149,nomicfoundation,hardhat,@babel/plugin-transform-block-scoped-functions,babel,babel,NPM
7150,nomicfoundation,hardhat,@babel/helper-define-map,babel,babel,NPM
7151,nomicfoundation,hardhat,@babel/plugin-syntax-class-properties,babel,babel,NPM
7152,nomicfoundation,hardhat,@babel/runtime,babel,babel,NPM
7153,nomicfoundation,hardhat,@babel/plugin-transform-modules-umd,babel,babel,NPM
7154,nomicfoundation,hardhat,@babel/core,babel,babel,NPM
7155,nomicfoundation,hardhat,@babel/plugin-syntax-top-level-await,babel,babel,NPM
7156,nomicfoundation,hardhat,@babel/plugin-transform-duplicate-keys,babel,babel,NPM
7157,nomicfoundation,hardhat,@babel/plugin-syntax-object-rest-spread,babel,babel,NPM
7158,nomicfoundation,hardhat,@babel/plugin-proposal-private-methods,babel,babel,NPM
7159,nomicfoundation,hardhat,@babel/helper-create-regexp-features-plugin,babel,babel,NPM
7160,nomicfoundation,hardhat,@babel/types,babel,babel,NPM
7161,nomicfoundation,hardhat,@babel/compat-data,babel,babel,NPM
7162,nomicfoundation,hardhat,@babel/plugin-proposal-nullish-coalescing-operator,babel,babel,NPM
7163,nomicfoundation,hardhat,tmpl,daaku,nodejs-tmpl,NPM
7164,nomicfoundation,hardhat,pirates,danez,pirates,NPM
7165,nomicfoundation,hardhat,@esbuild/linux-ppc64,evanw,esbuild,NPM
7166,nomicfoundation,hardhat,@esbuild/darwin-arm64,evanw,esbuild,NPM
7167,nomicfoundation,hardhat,aproba,iarna,aproba,NPM
7168,nomicfoundation,hardhat,parse-headers,kesla,parse-headers,NPM
7169,nomicfoundation,hardhat,@lerna/rimraf-dir,lerna,lerna,NPM
7170,nomicfoundation,hardhat,@lerna/npm-publish,lerna,lerna,NPM
7171,nomicfoundation,hardhat,@lerna/listable,lerna,lerna,NPM
7172,nomicfoundation,hardhat,@lerna/run,lerna,lerna,NPM
7173,nomicfoundation,hardhat,@lerna/pulse-till-done,lerna,lerna,NPM
7174,nomicfoundation,hardhat,throttle-debounce,niksy,throttle-debounce,NPM
7175,nomicfoundation,hardhat,tmp,raszi,node-tmp,NPM
7176,nomicfoundation,hardhat,@reach/component-component,reach,reach-ui,NPM
7177,nomicfoundation,hardhat,worker-farm,rvagg,node-worker-farm,NPM
7178,nomicfoundation,hardhat,foreground-child,tapjs,foreground-child,NPM
7179,nomicfoundation,hardhat,vfile-location,vfile,vfile-location,NPM
7180,nomicfoundation,hardhat,vfile,vfile,vfile,NPM
7181,nomicfoundation,hardhat,@vue/component-compiler-utils,vuejs,component-compiler-utils,NPM
